time,buoy,windspd,winddir,airtemp,pressure,waveht,waveper,sst,salinity,currentspd,currentdir
2020-01-01T00:00,B1,5.0,90,20.0,1010,1.2,5.0,18.0,35.0,0.20,180
2020-01-01T01:00,B1,5.5,95,20.1,1012,1.3,5.1,18.1,35.1,0.30,185
2020-01-01T02:00,B1,6.0,100,19.9,1009,1.1,4.9,17.9,34.9,0.25,190
2020-01-01T03:00,B1,5.2,88,20.2,1011,1.25,5.0,18.2,35.2,0.28,182
2020-01-01T04:00,B1,5.8,92,20.0,1010,1.3,5.2,18.0,35.0,0.30,188
2020-01-01T05:00,B1,5.4,91,19.8,1013,9.0,5.0,18.1,35.1,0.22,181
2020-01-01T06:00,B1,5.6,93,20.1,1012,1.2,5.1,18.0,35.0,0.26,183
2020-01-01T00:00,B2,3.0,200,22.0,1015,0.8,4.0,20.0,33.0,0.10,10
2020-01-01T01:00,B2,3.2,205,22.1,1014,0.9,4.1,20.1,33.1,0.12,15
2020-01-01T02:00,B2,2.8,198,21.9,500,0.85,3.9,19.9,32.9,0.11,12
2020-01-01T03:00,B2,3.1,202,22.0,1016,0.82,4.0,20.0,33.0,0.10,14
2020-01-01T04:00,B2,3.3,207,22.2,1013,0.88,4.2,20.2,33.2,0.13,16
2020-01-01T05:00,B2,2.9,199,21.8,1015,0.80,3.8,19.8,32.8,0.09,11
2020-01-01T06:00,B2,3.4,210,22.3,1014,0.90,4.3,20.3,33.3,0.14,18
